danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.018465,0.088948,0.017184,0.102790,0.025064,0.034587,-0.087304,0.026378,0.067269,Calm
0.083040,0.003048,0.065112,0.092949,0.023054,0.022010,-0.040380,0.046995,0.057990,Energetic
0.025376,0.098742,0.017369,0.000215,0.026305,0.015459,-0.056663,0.026302,0.040525,Sad
0.051401,0.028483,0.048486,0.001389,0.047895,0.012747,-0.036248,0.021299,0.063111,Sad
0.043950,0.034380,0.050994,0.098526,0.027546,0.041923,-0.045511,0.022209,0.036523,Sad
0.059176,0.000016,0.080253,0.000287,0.008785,0.065505,-0.027803,0.042220,0.045054,Energetic
0.066087,0.061864,0.063162,0.000000,0.019505,0.045330,-0.021881,0.026226,0.060299,Energetic
0.072026,0.003258,0.079602,0.050739,0.067004,0.039434,-0.021010,0.035474,0.059374,Energetic
0.047297,0.000842,0.087126,0.000000,0.200018,0.076510,-0.024928,0.071250,0.075528,Energetic
0.047621,0.071458,0.024893,0.000000,0.027298,0.007468,-0.036311,0.023346,0.066034,Sad
0.026888,0.094445,0.011982,0.091746,0.042187,0.033146,-0.080711,0.024559,0.033278,Calm
0.056044,0.093045,0.021921,0.014544,0.031516,0.037076,-0.081649,0.027439,0.037718,Sad
0.065115,0.001859,0.083782,0.074687,0.026057,0.017686,-0.026563,0.037444,0.060330,Happy
0.067707,0.000918,0.087683,0.000340,0.110184,0.072187,-0.019810,0.260746,0.059436,Happy
0.047837,0.000393,0.067063,0.001695,0.009256,0.021879,-0.028105,0.065566,0.052481,Energetic
0.048161,0.080053,0.005443,0.092949,0.021739,0.014542,-0.117360,0.031532,0.058466,Calm
0.083688,0.000681,0.061304,0.018699,0.054596,0.055680,-0.035227,0.033654,0.059410,Happy
0.057988,0.000236,0.078674,0.000000,0.020945,0.060134,-0.023138,0.029031,0.049997,Energetic
0.067059,0.071558,0.032045,0.100713,0.022583,0.014804,-0.053784,0.022361,0.055479,Calm
0.048593,0.001079,0.081460,0.000070,0.027794,0.086860,-0.029660,0.118245,0.051150,Energetic
0.066087,0.098942,0.003437,0.103556,0.026801,0.013494,-0.083768,0.030926,0.053275,Calm
0.063819,0.000009,0.089448,0.000012,0.019381,0.079786,-0.028829,0.040249,0.058942,Energetic
0.055180,0.001079,0.057774,0.000000,0.031516,0.055680,-0.025444,0.018343,0.047111,Sad
0.066519,0.070958,0.018763,0.074140,0.021615,0.010127,-0.062838,0.029031,0.065932,Calm
0.081421,0.001859,0.074680,0.006605,0.051369,0.127342,-0.031939,0.027894,0.062684,Happy
0.038227,0.000024,0.091213,0.000032,0.050625,0.025416,-0.013444,0.127341,0.067778,Energetic
0.056584,0.001489,0.085361,0.000008,0.032509,0.111097,-0.024457,0.033048,0.041453,Energetic
0.065331,0.075656,0.029630,0.000259,0.028787,0.035766,-0.048390,0.023194,0.051669,Sad
0.070514,0.000775,0.084247,0.089668,0.084871,0.031181,-0.026110,0.083378,0.060380,Energetic
0.036607,0.093645,0.013190,0.099510,0.021019,0.015852,-0.096021,0.031532,0.051847,Calm
0.083364,0.049071,0.023779,0.000669,0.035735,0.046771,-0.037963,0.036459,0.056053,Sad
0.080881,0.006736,0.064927,0.000210,0.018935,0.122495,-0.058236,0.028121,0.060768,Happy
0.017062,0.096443,0.008945,0.011482,0.018662,0.005175,-0.080969,0.030168,0.033477,Sad
0.063711,0.027684,0.076909,0.000001,0.021540,0.083323,-0.027900,0.033275,0.052494,Happy
0.059716,0.086149,0.022292,0.103447,0.023129,0.021486,-0.086731,0.023043,0.060807,Calm
0.065007,0.009914,0.086011,0.004910,0.059807,0.075200,-0.007197,0.067991,0.047149,Energetic
0.070298,0.019888,0.046721,0.070422,0.019381,0.073104,-0.048453,0.024483,0.062720,Sad
0.022785,0.090247,0.001365,0.102244,0.084871,0.008738,-0.102023,0.034564,0.080094,Calm
0.061767,0.000018,0.091956,0.000032,0.029283,0.052011,-0.008850,0.050027,0.050401,Energetic
0.034555,0.063962,0.023779,0.094261,0.027794,0.025023,-0.079881,0.033730,0.054219,Calm
0.047945,0.044874,0.046164,0.078952,0.020101,0.032753,-0.055983,0.029031,0.046715,Calm
